# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
2.028841456348609906e+00 -5.441133213090255244e-02 -4.126212742712069559e-02 -2.642563519503568492e-02 -1.414199779309135117e-02 -6.221043425962279223e-03 -1.584645860532291669e-03 -1.202531000518041105e-04
1.954615549409026487e+00 -5.324952338279409503e-02 -4.024975956672015298e-02 -2.595004633029298832e-02 -1.431890220102182039e-02 -6.271317589321184077e-03 -1.588205821659102604e-03 -1.202531000518226910e-04
1.885629118253413949e+00 -5.212097828823526735e-02 -3.925436840128564836e-02 -2.571020770700041536e-02 -1.455237894721796328e-02 -6.318078077224274260e-03 -1.590849893131106047e-03 -1.202531000518250221e-04
1.821346307403865383e+00 -5.126213866931193103e-02 -3.835698790053185953e-02 -2.567475458581987280e-02 -1.476189867011067774e-02 -6.363424104277082965e-03 -1.593323429129700963e-03 -1.202531000517799870e-04
1.761301923643298739e+00 -5.097432997115873554e-02 -3.767797316843427002e-02 -2.572841596618066773e-02 -1.490701102654796301e-02 -6.400468024100177018e-03 -1.595440445674304372e-03 -1.202531000517928755e-04
1.705090160122767706e+00 -5.155494053597219073e-02 -3.741589538345210103e-02 -2.573287407882365527e-02 -1.497321350525731946e-02 -6.422002146546011876e-03 -1.596657843008157445e-03 -1.202531000517889588e-04
1.652355412902476006e+00 -5.319312634056576339e-02 -3.781191136552249782e-02 -2.567403856503891468e-02 -1.495218848573404667e-02 -6.422183782059074329e-03 -1.596383416348053520e-03 -1.202531000518214306e-04
1.602784750515401813e+00 -5.593733823885021356e-02 -3.902767677163439947e-02 -2.577186994039387669e-02 -1.487139924638338807e-02 -6.398571111162320267e-03 -1.594134474096978128e-03 -1.202531000518010883e-04
1.556101699529516047e+00 -5.973874939173056536e-02 -4.109022790644093620e-02 -2.633661222089994300e-02 -1.485655243785113065e-02 -6.365624602296576610e-03 -1.590455653453966452e-03 -1.202531000518188963e-04
1.512061085391888549e+00 -6.449094736098981429e-02 -4.393043544507201775e-02 -2.751720255449188399e-02 -1.508609210114441115e-02 -6.367257341565737798e-03 -1.588494666995772606e-03 -1.202531000518590525e-04
1.470444725243487794e+00 -7.004746496772398801e-02 -4.741658836784753972e-02 -2.925466226376583628e-02 -1.564001913447044326e-02 -6.450882956078809669e-03 -1.593201869556160836e-03 -1.202531000518163078e-04
1.431057812960180087e+00 -7.624227077650899687e-02 -5.137893225133550318e-02 -3.138401272780760864e-02 -1.645847321138386998e-02 -6.623502208539209200e-03 -1.606860420571837441e-03 -1.202531000518272718e-04
1.393725870013392765e+00 -8.291175311452483876e-02 -5.563527800079846181e-02 -3.371617904672218058e-02 -1.741308235383808023e-02 -6.848963366460832612e-03 -1.626473356820991398e-03 -1.202531000518229892e-04
1.358292161453730218e+00 -8.991855103097713686e-02 -6.002104975903557044e-02 -3.608307827630468506e-02 -1.837730965348309542e-02 -7.079121337440996004e-03 -1.646620799329292324e-03 -1.202531000517996788e-04
1.324615496293720440e+00 -9.718124779732215113e-02 -6.442853404559083230e-02 -3.837639756234686311e-02 -1.927142464113725320e-02 -7.283052477989548912e-03 -1.663789981328420587e-03 -1.202531000518273260e-04
1.292568347189840150e+00 -1.046815583615856027e-01 -6.882319703969766445e-02 -4.056130844192034485e-02 -2.007308914879746969e-02 -7.453919048520904131e-03 -1.677421956560837387e-03 -1.202531000518409056e-04
1.262035236626300572e+00 -1.124331038760050389e-01 -7.321442722504152567e-02 -4.264775357967189734e-02 -2.079300430363915236e-02 -7.597415103690444843e-03 -1.688309727036854365e-03 -1.202531000517709339e-04
1.232911346550308984e+00 -1.204456173663882163e-01 -7.761595073751649532e-02 -4.465365058006656035e-02 -2.144769514867469334e-02 -7.720623238696925315e-03 -1.697282461617420331e-03 -1.202531000518306870e-04
1.205101316176993897e+00 -1.287096743704957136e-01 -8.202693800996038731e-02 -4.658794442181266038e-02 -2.204845979613560131e-02 -7.828381816921197930e-03 -1.704875682511546205e-03 -1.202531000518655170e-04
1.178518198908383718e+00 -1.371963092193005385e-01 -8.643028424182862268e-02 -4.844910634809694583e-02 -2.260087748181643236e-02 -7.923489807349054503e-03 -1.711397858286897201e-03 -1.202531000518192622e-04
