# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
1.205101316176993897e+00 -1.287843813809578797e-01 -8.211262411522221583e-02 -4.666606907779504571e-02 -2.210568664096977318e-02 -7.859339348528962543e-03 -1.715625158584591341e-03 -1.218020042328180454e-04
1.178518198908383718e+00 -1.372831527537580198e-01 -8.652870165408377279e-02 -4.853715317141508306e-02 -2.266376633435070176e-02 -7.956663914609701446e-03 -1.722728362475168780e-03 -1.218743110829617507e-04
1.153082554327627074e+00 -1.459618808977922733e-01 -9.090919039878879448e-02 -5.032678936524059149e-02 -2.317524083560386014e-02 -8.042691055472853123e-03 -1.728857452172987948e-03 -1.219349935052114103e-04
1.128721655292536319e+00 -1.547668776698963577e-01 -9.521977530088486519e-02 -5.202422047755003720e-02 -2.364094723249106356e-02 -8.118543064723673236e-03 -1.734155885189467110e-03 -1.219871442182233920e-04
1.105368793458897825e+00 -1.636392704066639836e-01 -9.942557687380364217e-02 -5.361957034893679447e-02 -2.406182548431861495e-02 -8.185177940002294830e-03 -1.738746137584277519e-03 -1.220346125300328166e-04
1.082962669267163447e+00 -1.725183076871444621e-01 -1.034942762079331530e-01 -5.510527239955985424e-02 -2.443916779105744300e-02 -8.243342881390098784e-03 -1.742676781283276650e-03 -1.220723746435895137e-04
1.061446854645961446e+00 -1.813457504547263954e-01 -1.073998345798714282e-01 -5.647807451072536788e-02 -2.477557286373622061e-02 -8.294025447663000428e-03 -1.746064263186190586e-03 -1.221059561630744549e-04
1.040769318516494568e+00 -1.900665691500895149e-01 -1.111219004903476609e-01 -5.773762742604342246e-02 -2.507389703518515464e-02 -8.338008145324296919e-03 -1.748953439455669260e-03 -1.221316633443073670e-04
1.020882006697708011e+00 -1.986319695896089643e-01 -1.146474788071922546e-01 -5.888724085771570443e-02 -2.533785260335750730e-02 -8.376259400187349019e-03 -1.751454133643540190e-03 -1.221559243244866731e-04
1.001740469072126105e+00 -2.069984917425273796e-01 -1.179686709465712080e-01 -5.993183027333263274e-02 -2.557094693177316275e-02 -8.409533209793854450e-03 -1.753620452903990575e-03 -1.221784207663755668e-04
9.833035279235594617e-01 -2.151285308061873514e-01 -1.210821148686372778e-01 -6.087749262314875315e-02 -2.577650646193241010e-02 -8.438464858388282017e-03 -1.755486690301945492e-03 -1.221971595278629477e-04
9.655329822381938376e-01 -2.229906281754807373e-01 -1.239883912834618546e-01 -6.173117823457765357e-02 -2.595771521723547540e-02 -8.463641912166378067e-03 -1.757092239144428898e-03 -1.222119152851037843e-04
9.483933435002376289e-01 -2.305593061131108457e-01 -1.266912102556690678e-01 -6.250026420631855928e-02 -2.611757359965189221e-02 -8.485618318617700259e-03 -1.758484281026781535e-03 -1.222243918623309826e-04
9.318515991368613305e-01 -2.378141540794852238e-01 -1.291961792069671877e-01 -6.319187860075706209e-02 -2.625865980353591159e-02 -8.504826140093414352e-03 -1.759690240395239040e-03 -1.222343684197259696e-04
9.158770002945152422e-01 -2.447406288489034631e-01 -1.315111827543804512e-01 -6.381339868713030439e-02 -2.638352389475215332e-02 -8.521749325927153659e-03 -1.760768337050770769e-03 -1.222465081720700247e-04
9.004408710760685164e-01 -2.513254230433343284e-01 -1.336425373120889160e-01 -6.437008898484035402e-02 -2.649349332492098238e-02 -8.536409173336279368e-03 -1.761648006204369690e-03 -1.222482674043654546e-04
8.855164367488407295e-01 -2.575649122590402684e-01 -1.356016973989152552e-01 -6.486964977581810565e-02 -2.659118917836615290e-02 -8.549452008149136667e-03 -1.762462485930901867e-03 -1.222556764143594343e-04
8.710786687583704779e-01 -2.634553735528035734e-01 -1.373974331459619502e-01 -6.531729431567492861e-02 -2.667794636457569701e-02 -8.561034433881745120e-03 -1.763204551174931203e-03 -1.222657527678774740e-04
8.571041446606425529e-01 -2.689967345518239905e-01 -1.390390444077687637e-01 -6.571794030332690773e-02 -2.675493601119366405e-02 -8.571276888827141296e-03 -1.763862660437509307e-03 -1.222752158791390049e-04
8.435709213238956616e-01 -2.741912854356775564e-01 -1.405354734888548396e-01 -6.607586072217860873e-02 -2.682310660942815658e-02 -8.580264737635149783e-03 -1.764422430998000609e-03 -1.222806740513607358e-04
8.304584199561667601e-01 -2.790474754669702295e-01 -1.418981277890700166e-01 -6.639643101637295042e-02 -2.688404566415550714e-02 -8.588395004995199103e-03 -1.764971088719428883e-03 -1.222929367962615496e-04
8.177473216915315257e-01 -2.835708889873062022e-01 -1.431346013482172053e-01 -6.668239761862282400e-02 -2.693803090150875823e-02 -8.595529566079678982e-03 -1.765435598804816373e-03 -1.223009273881536753e-04
