# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
1.821346307403865383e+00 -5.072461699259132872e-02 -3.776527358040822346e-02 -2.530469044694525632e-02 -1.458860192852749586e-02 -6.304529324591254605e-03 -1.585103920050400482e-03 -1.202194097191092213e-04
1.761301923643298739e+00 -5.055807578219980586e-02 -3.715759246225940060e-02 -2.534571995801883013e-02 -1.471831675378873494e-02 -6.336144045428444144e-03 -1.586502379084849066e-03 -1.202194097185899969e-04
1.705090160122767706e+00 -5.125640868798873873e-02 -3.702735968206914696e-02 -2.536692254320378412e-02 -1.477931521720143859e-02 -6.355208525835966127e-03 -1.587405510785383674e-03 -1.202194097190637391e-04
1.652355412902476006e+00 -5.298607161279218075e-02 -3.756281183766567444e-02 -2.537195786051843829e-02 -1.476744556068136476e-02 -6.356651031476115606e-03 -1.587250581597410108e-03 -1.202194097189286746e-04
1.602784750515401813e+00 -5.579220580017135028e-02 -3.887984464033809873e-02 -2.556638269003680061e-02 -1.471895128265256550e-02 -6.340084024640064465e-03 -1.585857414919066314e-03 -1.202194097189762575e-04
1.556101699529516047e+00 -5.963661229898317012e-02 -4.100107905439462352e-02 -2.621568197898160521e-02 -1.475073421909941715e-02 -6.319631625888976964e-03 -1.583618969754346231e-03 -1.202194097190201812e-04
1.512061085391888549e+00 -6.440462448692871322e-02 -4.386425396083283579e-02 -2.743758486004442554e-02 -1.501180865541515419e-02 -6.330700170973624884e-03 -1.582673270617679893e-03 -1.202194097190548757e-04
1.470444725243487794e+00 -6.992935941361116958e-02 -4.733256454516376888e-02 -2.916664770878868093e-02 -1.556187626820329517e-02 -6.409385167342500182e-03 -1.586216248016889679e-03 -1.202194097189554137e-04
1.431057812960180087e+00 -7.598235744774384237e-02 -5.120288073131660372e-02 -3.122480810195258499e-02 -1.632995173746933093e-02 -6.556867883388302690e-03 -1.595611989225780968e-03 -1.202194097190165221e-04
1.393725870013392765e+00 -8.228286461730568990e-02 -5.522027479073639972e-02 -3.338079643552224057e-02 -1.717358603656235147e-02 -6.734147049501578407e-03 -1.608176762453709333e-03 -1.202194097188362192e-04
1.358292161453730218e+00 -8.846546534723544186e-02 -5.909384212632619315e-02 -3.539658093559121949e-02 -1.795397047999389151e-02 -6.902710342452036615e-03 -1.620664296777172024e-03 -1.202194097189171414e-04
1.324615496293720440e+00 -9.427293482236427657e-02 -6.261814176171401347e-02 -3.708298406225432609e-02 -1.859954777353632627e-02 -7.040658368025825078e-03 -1.630640428833115977e-03 -1.202194097190434916e-04
1.292568347189840150e+00 -9.978670285305933640e-02 -6.582683376006547016e-02 -3.855056590860028720e-02 -1.910494367224110229e-02 -7.136721366383182857e-03 -1.637679909968053340e-03 -1.202194097189354373e-04
1.262035236626300572e+00 -1.050778578572995892e-01 -6.888161055334210414e-02 -3.981749968020795866e-02 -1.955804036790253012e-02 -7.230990476871507200e-03 -1.644165010309851013e-03 -1.202194097190689026e-04
1.232911346550308984e+00 -1.105209361876165614e-01 -7.193202170909264448e-02 -4.125680637796590167e-02 -1.995865730522485004e-02 -7.289814172171341783e-03 -1.648099454124217489e-03 -1.202194097188390111e-04
1.205101316176993897e+00 -1.156708351094762749e-01 -7.471254358488746417e-02 -4.236567442167914893e-02 -2.033730469170311889e-02 -7.358543799919631777e-03 -1.651983565582788383e-03 -1.202194097189608076e-04
1.178518198908383718e+00 -1.205524767097760214e-01 -7.761024542738408083e-02 -4.349104847235851778e-02 -2.065102062474892530e-02 -7.419321927163800151e-03 -1.656035474914326977e-03 -1.202194097189922630e-04
1.153082554327627074e+00 -1.249159590924321384e-01 -8.005385304205818453e-02 -4.439123224222534664e-02 -2.093426354238161341e-02 -7.459169998079193814e-03 -1.658386310001461758e-03 -1.202194097189771791e-04
1.128721655292536319e+00 -1.288043992291749706e-01 -8.236413172596811216e-02 -4.513020752108323069e-02 -2.117157263315088203e-02 -7.517398874579613380e-03 -1.661807546315528577e-03 -1.202194097190633867e-04
1.105368793458897825e+00 -1.314238732027998291e-01 -8.408932661142730358e-02 -4.620315003033493434e-02 -2.142802853333310512e-02 -7.537416349246571674e-03 -1.663274872520304664e-03 -1.202194097190828210e-04
1.082962669267163447e+00 -1.330460360012841181e-01 -8.574191106926482009e-02 -4.646162208999567861e-02 -2.143497059444891828e-02 -7.559494764289200440e-03 -1.665254720311574402e-03 -1.202194097190255887e-04
1.061446854645961446e+00 -1.361305976072283708e-01 -8.784723549007310284e-02 -4.717187806577494147e-02 -2.180707238618338414e-02 -7.610417417127189089e-03 -1.666930845302106584e-03 -1.202194097189961391e-04
1.040769318516494568e+00 -1.384031477191811077e-01 -8.879580993842219050e-02 -4.799459127002191072e-02 -2.203691819071283697e-02 -7.624766683940901145e-03 -1.667129085811006788e-03 -1.202194097191023502e-04
1.020882006697708011e+00 -1.368207835180408338e-01 -8.937038319485976490e-02 -4.803077689921252114e-02 -2.205227392113963403e-02 -7.668283994794753214e-03 -1.670481805823865020e-03 -1.202194097189810551e-04
1.001740469072126105e+00 -1.361894608508545101e-01 -9.139914223965277251e-02 -4.891000259873075351e-02 -2.227260346189355311e-02 -7.665391796706395866e-03 -1.668782901762986713e-03 -1.202194097190304541e-04
9.833035279235594617e-01 -1.348021638835268932e-01 -9.198346419923467132e-02 -4.933536416202977809e-02 -2.219799230324815895e-02 -7.664457571410255438e-03 -1.669491218987270535e-03 -1.202194097191772144e-04
9.655329822381938376e-01 -1.316591659188477426e-01 -9.300203167452224251e-02 -4.905962192668464339e-02 -2.228532713479871100e-02 -7.693236029875140554e-03 -1.670926723601137438e-03 -1.202194097189007022e-04
9.483933435002376289e-01 -1.284740392149109622e-01 -9.251688634323798621e-02 -4.966562192327758640e-02 -2.237813619751324173e-02 -7.700091164046383302e-03 -1.671469544120557935e-03 -1.202194097190742016e-04
9.318515991368613305e-01 -1.294342825432411304e-01 -9.429492061460580110e-02 -4.979672375695842063e-02 -2.242612525201891083e-02 -7.720404422816651638e-03 -1.672353263838405020e-03 -1.202194097190147331e-04
9.158770002945152422e-01 -1.281905447933799902e-01 -9.309755104934988590e-02 -4.991057024305600720e-02 -2.265213914043479049e-02 -7.729178615916720146e-03 -1.672194864301419824e-03 -1.202194097191239258e-04
9.004408710760685164e-01 -1.190859525791649887e-01 -9.416473614184288354e-02 -5.004536655106406329e-02 -2.249545294142964863e-02 -7.727113274152511320e-03 -1.672492480754370590e-03 -1.202194097188376829e-04
8.855164367488407295e-01 -1.179125186443533424e-01 -9.333615453248363114e-02 -5.037299822831872720e-02 -2.277032287589551146e-02 -7.729373533834716335e-03 -1.670937877355804704e-03 -1.202194097191237632e-04
