# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
1.705090160122767706e+00 -5.065295836832758858e-02 -3.623803190349604575e-02 -2.462616871870542887e-02 -1.437740002014433610e-02 -6.216089031325288013e-03 -1.563640345169043993e-03 -1.202531000517889588e-04
1.652355412902476006e+00 -5.255671058688309027e-02 -3.704584937091431884e-02 -2.475131286824031746e-02 -1.438461487593758331e-02 -6.218662336155322996e-03 -1.563640345169043993e-03 -1.202531000518214306e-04
1.602784750515401813e+00 -5.548282043704701183e-02 -3.856094095965436480e-02 -2.512654780013595310e-02 -1.439338039786982118e-02 -6.212879372272289528e-03 -1.563640345169043776e-03 -1.202531000518010883e-04
1.556101699529516047e+00 -5.939692859903504540e-02 -4.078778085838439399e-02 -2.592772702817107075e-02 -1.449961356998243772e-02 -6.209680829664206668e-03 -1.563640345169043993e-03 -1.202531000518188963e-04
1.512061085391888549e+00 -6.418329828106159041e-02 -4.368780611885651755e-02 -2.722448432447965166e-02 -1.481424053978516384e-02 -6.232024116519475562e-03 -1.563640345169043993e-03 -1.202531000518590525e-04
1.470444725243487794e+00 -6.963122454165290853e-02 -4.710946641774426541e-02 -2.893393303000478534e-02 -1.535648480708380441e-02 -6.300711121071222998e-03 -1.563640345169043993e-03 -1.202531000518163078e-04
1.431057812960180087e+00 -7.543209876761293453e-02 -5.081370837350109720e-02 -3.086733741646753224e-02 -1.603147806805181597e-02 -6.404962871829871472e-03 -1.563640345169043776e-03 -1.202531000518272718e-04
1.393725870013392765e+00 -8.114525758444070258e-02 -5.444519871711220316e-02 -3.273119900652836367e-02 -1.673536548607276048e-02 -6.525569451757013036e-03 -1.563640345169043993e-03 -1.202531000518229892e-04
1.358292161453730218e+00 -8.619958393014860720e-02 -5.759058872358174819e-02 -3.420941760115994712e-02 -1.726776261018724001e-02 -6.618851896735611362e-03 -1.563640345169043993e-03 -1.202531000517996788e-04
1.324615496293720440e+00 -9.019794023927446558e-02 -5.999901960533367273e-02 -3.526366947513941141e-02 -1.756231820387479936e-02 -6.665260782940806913e-03 -1.563640345169043993e-03 -1.202531000518273260e-04
1.292568347189840150e+00 -9.324373306225569591e-02 -6.178992718787289229e-02 -3.557502298179803651e-02 -1.770722673947532078e-02 -6.706059156471481930e-03 -1.563640345169043993e-03 -1.202531000518409056e-04
1.262035236626300572e+00 -9.621957851509885251e-02 -6.350705458065633580e-02 -3.618602367892186783e-02 -1.785926791314976919e-02 -6.724957271217870368e-03 -1.563640345169043993e-03 -1.202531000517709339e-04
1.232911346550308984e+00 -9.896436465709568253e-02 -6.507591711101146092e-02 -3.692444961352012861e-02 -1.800693296553150177e-02 -6.753952293675654674e-03 -1.563640345169043993e-03 -1.202531000518306870e-04
1.205101316176993897e+00 -1.002045773107395898e-01 -6.618561325686642127e-02 -3.694387183486082943e-02 -1.807118832941075753e-02 -6.772663653573797460e-03 -1.563640345169043993e-03 -1.202531000518655170e-04
1.178518198908383718e+00 -1.019907128036227906e-01 -6.766591786220026161e-02 -3.765894704940175863e-02 -1.824005052827162507e-02 -6.797906516983035635e-03 -1.563640345169043993e-03 -1.202531000518192622e-04
1.153082554327627074e+00 -1.006204388119491672e-01 -6.730645472822564812e-02 -3.748760670042766696e-02 -1.820567621790313007e-02 -6.815539815283272115e-03 -1.563640345169044210e-03 -1.202531000517841747e-04
1.128721655292536319e+00 -1.021540811657394576e-01 -6.847403127017576141e-02 -3.780837813022039362e-02 -1.850681993566562558e-02 -6.831174040309100429e-03 -1.563640345169043776e-03 -1.202531000518769689e-04
1.105368793458897825e+00 -9.787718319372723519e-02 -6.875664205807267837e-02 -3.804665801506877665e-02 -1.849562629365454972e-02 -6.852575966054388033e-03 -1.563640345169043993e-03 -1.202531000518038530e-04
1.082962669267163447e+00 -9.326456704766462880e-02 -6.710315560006060998e-02 -3.708339501469920529e-02 -1.845079896756639248e-02 -6.860870875878680164e-03 -1.563640345169043993e-03 -1.202531000517821961e-04
1.061446854645961446e+00 -8.969600624055519555e-02 -6.798519466638372477e-02 -3.853456397620282775e-02 -1.860243908372357508e-02 -6.859592342764972081e-03 -1.563640345169043993e-03 -1.202531000518415155e-04
